objectid,parentid,title,creator,date,date_archival,date_is_approximate,description,subject,associated_names,identifier,cabinet,drawer,box,bag,type_point,material,material_source,length (mm),width (mm),thickness (mm),weight (g),count,source,language,rights,rightsstatement,student initials,publish,GGOI,original_format,type,format,object_comments,group,display_template,object_location,image_small,image_thumb,extension,box_num,folder_number,archival_item,id_num,multiple_num,last,matching_objects
ce_cd_d8_9815-a,,Ce.9815,"Crabtree, Donald ""Don"" E.",,N/A,,Titmus technique,experimental artifacts; lithics,,CE_CD_D8_9815-a,D,8,N/A,N/A,projectile point,obsidian,"Burns, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,multiple,artifact_image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9815-a.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9815-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9815-a_th.jpg,JPG,CD,D8,,9815-a,a,,CE_CD_D8_9815-a.JPG
ce_cd_d8_9815-b,ce_cd_d8_9815-a,Ce.9815,"Crabtree, Donald ""Don"" E.",,N/A,,Titmus technique,experimental artifacts; lithics,,CE_CD_D8_9815-b,D,8,N/A,N/A,projectile point,obsidian,"Burns, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,artifact,image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9815-b.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9815-b_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9815-b_th.jpg,JPG,CD,D8,,9815-b,b,,CE_CD_D8_9815-b.JPG
ce_cd_d8_9816-a,,Ce.9816,"Crabtree, Donald ""Don"" E.",,N/A,,"Titmus technique, signed by Crabtree [?]",experimental artifacts; lithics,,CE_CD_D8_9816-a,D,8,N/A,N/A,projectile point,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,multiple,artifact_image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9816-a.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9816-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9816-a_th.jpg,JPG,CD,D8,,9816-a,a,,CE_CD_D8_9816-a.JPG
ce_cd_d8_9816-b,ce_cd_d8_9816-a,Ce.9816,"Crabtree, Donald ""Don"" E.",,N/A,,"Titmus technique, signed by Crabtree [?]",experimental artifacts; lithics,,CE_CD_D8_9816-b,D,8,N/A,N/A,projectile point,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,artifact,image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9816-b.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9816-b_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9816-b_th.jpg,JPG,CD,D8,,9816-b,b,,CE_CD_D8_9816-b.JPG
ce_cd_d8_9818-a,,Ce.9818,"Crabtree, Donald ""Don"" E.",1975,1975-80,yes,Titmus flaking technique,experimental artifacts; lithics,,CE_CD_D8_9818-a,D,8,N/A,N/A,biface,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,multiple,artifact_image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9818-a.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9818-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9818-a_th.jpg,JPG,CD,D8,,9818-a,a,,CE_CD_D8_9818-a.JPG
ce_cd_d8_9818-b,ce_cd_d8_9818-a,Ce.9818,"Crabtree, Donald ""Don"" E.",1975,1975-80,yes,Titmus flaking technique,experimental artifacts; lithics,,CE_CD_D8_9818-b,D,8,N/A,N/A,biface,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,artifact,image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9818-b.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9818-b_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9818-b_th.jpg,JPG,CD,D8,,9818-b,b,,CE_CD_D8_9818-b.JPG
ce_cd_d8_9822-a,,Ce.9822,"Crabtree, Donald ""Don"" E.",1975,1975,yes,Titmus flaking,experimental artifacts; lithics,,CE_CD_D8_9822-a,D,8,N/A,N/A,biface,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,multiple,artifact_image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9822-a.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9822-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9822-a_th.jpg,JPG,CD,D8,,9822-a,a,,CE_CD_D8_9822-a.JPG
ce_cd_d8_9822-b,ce_cd_d8_9822-a,Ce.9822,"Crabtree, Donald ""Don"" E.",1975,1975,yes,Titmus flaking,experimental artifacts; lithics,,CE_CD_D8_9822-b,D,8,N/A,N/A,biface,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,artifact,image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9822-b.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9822-b_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9822-b_th.jpg,JPG,CD,D8,,9822-b,b,,CE_CD_D8_9822-b.JPG
ce_cd_d8_9823-a,,Ce.9823,"Crabtree, Donald ""Don"" E.",1976,1976-79,yes,Titmus technique,experimental artifacts; lithics,,CE_CD_D8_9823-a,D,8,N/A,N/A,biface,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,multiple,artifact_image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9823-a.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9823-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9823-a_th.jpg,JPG,CD,D8,,9823-a,a,,CE_CD_D8_9823-a.JPG
ce_cd_d8_9823-b,ce_cd_d8_9823-a,Ce.9823,"Crabtree, Donald ""Don"" E.",1976,1976-79,yes,Titmus technique,experimental artifacts; lithics,,CE_CD_D8_9823-b,D,8,N/A,N/A,biface,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,artifact,image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9823-b.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9823-b_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9823-b_th.jpg,JPG,CD,D8,,9823-b,b,,CE_CD_D8_9823-b.JPG
ce_cd_d8_9825-a,,Ce.9825,"Crabtree, Donald ""Don"" E.",,N/A,,Titmus technique,experimental artifacts; lithics,,CE_CD_D8_9825-a,D,8,N/A,N/A,projectile point,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,multiple,artifact_image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9825-a.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9825-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9825-a_th.jpg,JPG,CD,D8,,9825-a,a,,CE_CD_D8_9825-a.JPG
ce_cd_d8_9825-b,ce_cd_d8_9825-a,Ce.9825,"Crabtree, Donald ""Don"" E.",,N/A,,Titmus technique,experimental artifacts; lithics,,CE_CD_D8_9825-b,D,8,N/A,N/A,projectile point,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,artifact,image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9825-b.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9825-b_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9825-b_th.jpg,JPG,CD,D8,,9825-b,b,,CE_CD_D8_9825-b.JPG
