filename,id_base,metadata,match_master_metadata,extension,url,notes
CE_B11_F1-Item29.pdf,ce_b11_f1-item29,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item29.pdf,
CE_B11_F1-Item3.pdf,ce_b11_f1-item3,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item3.pdf,
CE_B11_F1-Item30.pdf,ce_b11_f1-item30,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item30.pdf,
CE_B11_F1-Item31.pdf,ce_b11_f1-item31,,0,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item31.pdf,
CE_B11_F1-Item32.pdf,ce_b11_f1-item32,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item32.pdf,
CE_B11_F1-Item33.pdf,ce_b11_f1-item33,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item33.pdf,
CE_B11_F1-Item34.pdf,ce_b11_f1-item34,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item34.pdf,
CE_B11_F1-Item35.pdf,ce_b11_f1-item35,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item35.pdf,
CE_B11_F1-Item37.pdf,ce_b11_f1-item37,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item37.pdf,
CE_B11_F1-Item38.pdf,ce_b11_f1-item38,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item38.pdf,
CE_B11_F1-Item39.pdf,ce_b11_f1-item39,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item39.pdf,
CE_B11_F1-Item4.pdf,ce_b11_f1-item4,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item4.pdf,
CE_B11_F1-Item40.pdf,ce_b11_f1-item40,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item40.pdf,
CE_B11_F1-Item41.pdf,ce_b11_f1-item41,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item41.pdf,
CE_B11_F1-Item42.pdf,ce_b11_f1-item42,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item42.pdf,
CE_B11_F1-Item43.pdf,ce_b11_f1-item43,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item43.pdf,
CE_B11_F1-Item44.pdf,ce_b11_f1-item44,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item44.pdf,
CE_B11_F1-Item45.pdf,ce_b11_f1-item45,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item45.pdf,
CE_B11_F1-Item46.pdf,ce_b11_f1-item46,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item46.pdf,
CE_B11_F1-Item47.pdf,ce_b11_f1-item47,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item47.pdf,
CE_B11_F1-Item48.pdf,ce_b11_f1-item48,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item48.pdf,
CE_B11_F1-Item49.pdf,ce_b11_f1-item49,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item49.pdf,
CE_B11_F1-Item5.pdf,ce_b11_f1-item5,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item5.pdf,
CE_B11_F1-Item50.pdf,ce_b11_f1-item50,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item50.pdf,
CE_B11_F1-Item51.pdf,ce_b11_f1-item51,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item51.pdf,
CE_B11_F1-Item52.pdf,ce_b11_f1-item52,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item52.pdf,
CE_B11_F1-Item53.pdf,ce_b11_f1-item53,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item53.pdf,
CE_B11_F1-Item54.pdf,ce_b11_f1-item54,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item54.pdf,
CE_B11_F1-Item55.pdf,ce_b11_f1-item55,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item55.pdf,
CE_B11_F1-Item56.pdf,ce_b11_f1-item56,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item56.pdf,
CE_B11_F1-Item57.pdf,ce_b11_f1-item57,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item57.pdf,
CE_B11_F1-Item58.pdf,ce_b11_f1-item58,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item58.pdf,
CE_B11_F1-Item59.pdf,ce_b11_f1-item59,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item59.pdf,
CE_B11_F1-Item6.pdf,ce_b11_f1-item6,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item6.pdf,
CE_B11_F1-Item60.pdf,ce_b11_f1-item60,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item60.pdf,
CE_B11_F1-Item61.pdf,ce_b11_f1-item61,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item61.pdf,
CE_B11_F1-Item62.pdf,ce_b11_f1-item62,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item62.pdf,
CE_B11_F1-Item63.pdf,ce_b11_f1-item63,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item63.pdf,
CE_B11_F1-Item64.pdf,ce_b11_f1-item64,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item64.pdf,
CE_B11_F1-Item65.pdf,ce_b11_f1-item65,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item65.pdf,
CE_B11_F1-Item66.pdf,ce_b11_f1-item66,crabtree_archives,yes,pdf,https://objects.lib.uidaho.edu/crabtree/CE_B11_F1-Item66.pdf,
