filename,removed,extension,format,identifier,metadata_match,id_base,object_location,image_small,image_thumb
CE_CA_D2_1398_model.jpg,true,jpg,image/jpeg,CE_CA_D2_1398_model,ce_ca_d2_1398_model,CE_CA_D2_1398,,,
CE_CA_D2_1398_model.mtl,true,mtl,model,CE_CA_D2_1398_model,ce_ca_d2_1398_model,CE_CA_D2_1398,,,
CE_CA_D2_1398_model.obj,true,obj,model,CE_CA_D2_1398_model,ce_ca_d2_1398_model,CE_CA_D2_1398,,,
CE_CA_D2_1398_model.stl,true,stl,model,CE_CA_D2_1398_model,ce_ca_d2_1398_model,CE_CA_D2_1398,,,
CE_CA_D2_1398_model.x3d,true,x3d,model,CE_CA_D2_1398_model,ce_ca_d2_1398_model,CE_CA_D2_1398,,,
CE_CA_D2_1399_model.jpg,true,jpg,image/jpeg,CE_CA_D2_1399_model,ce_ca_d2_1399_model,CE_CA_D2_1399,,,
CE_CA_D2_1399_model.mtl,true,mtl,model,CE_CA_D2_1399_model,ce_ca_d2_1399_model,CE_CA_D2_1399,,,
CE_CA_D2_1399_model.obj,true,obj,model,CE_CA_D2_1399_model,ce_ca_d2_1399_model,CE_CA_D2_1399,,,
CE_CA_D2_1399_model.stl,true,stl,model,CE_CA_D2_1399_model,ce_ca_d2_1399_model,CE_CA_D2_1399,,,
CE_CA_D2_1399_model.x3d,true,x3d,model,CE_CA_D2_1399_model,ce_ca_d2_1399_model,CE_CA_D2_1399,,,
CE_CA_D2_1400_model.jpg,true,jpg,image/jpeg,CE_CA_D2_1400_model,ce_ca_d2_1400_model,CE_CA_D2_1400,,,
CE_CA_D2_1400_model.mtl,true,mtl,model,CE_CA_D2_1400_model,ce_ca_d2_1400_model,CE_CA_D2_1400,,,
CE_CA_D2_1400_model.obj,true,obj,model,CE_CA_D2_1400_model,ce_ca_d2_1400_model,CE_CA_D2_1400,,,
CE_CA_D2_1400_model.stl,true,stl,model,CE_CA_D2_1400_model,ce_ca_d2_1400_model,CE_CA_D2_1400,,,
CE_CA_D2_1400_model.x3d,true,x3d,model,CE_CA_D2_1400_model,ce_ca_d2_1400_model,CE_CA_D2_1400,,,
CE_CA_D2_1402_model.jpg,true,jpg,image/jpeg,CE_CA_D2_1402_model,ce_ca_d2_1402_model,CE_CA_D2_1402,,,
CE_CA_D2_1402_model.mtl,true,mtl,model,CE_CA_D2_1402_model,ce_ca_d2_1402_model,CE_CA_D2_1402,,,
CE_CA_D2_1402_model.obj,true,obj,model,CE_CA_D2_1402_model,ce_ca_d2_1402_model,CE_CA_D2_1402,,,
CE_CA_D2_1402_model.stl,true,stl,model,CE_CA_D2_1402_model,ce_ca_d2_1402_model,CE_CA_D2_1402,,,
CE_CA_D2_1402_model.x3d,true,x3d,model,CE_CA_D2_1402_model,ce_ca_d2_1402_model,CE_CA_D2_1402,,,
CE_CA_D2_1405_model.jpg,true,jpg,image/jpeg,CE_CA_D2_1405_model,ce_ca_d2_1405_model,CE_CA_D2_1405,,,
CE_CA_D2_1405_model.mtl,true,mtl,model,CE_CA_D2_1405_model,ce_ca_d2_1405_model,CE_CA_D2_1405,,,
CE_CA_D2_1405_model.obj,true,obj,model,CE_CA_D2_1405_model,ce_ca_d2_1405_model,CE_CA_D2_1405,,,
CE_CA_D2_1405_model.stl,true,stl,model,CE_CA_D2_1405_model,ce_ca_d2_1405_model,CE_CA_D2_1405,,,
CE_CA_D2_1405_model.x3d,true,x3d,model,CE_CA_D2_1405_model,ce_ca_d2_1405_model,CE_CA_D2_1405,,,
CE_CA_D2_1406_model.jpg,true,jpg,image/jpeg,CE_CA_D2_1406_model,ce_ca_d2_1406_model,CE_CA_D2_1406,,,
CE_CA_D2_1406_model.mtl,true,mtl,model,CE_CA_D2_1406_model,ce_ca_d2_1406_model,CE_CA_D2_1406,,,
CE_CA_D2_1406_model.obj,true,obj,model,CE_CA_D2_1406_model,ce_ca_d2_1406_model,CE_CA_D2_1406,,,
CE_CA_D2_1406_model.stl,true,stl,model,CE_CA_D2_1406_model,ce_ca_d2_1406_model,CE_CA_D2_1406,,,
CE_CA_D2_1406_model.x3d,true,x3d,model,CE_CA_D2_1406_model,ce_ca_d2_1406_model,CE_CA_D2_1406,,,
CE_CA_D2_1441_model.jpg,true,jpg,image/jpeg,CE_CA_D2_1441_model,ce_ca_d2_1441_model,CE_CA_D2_1441,,,
CE_CA_D2_1441_model.mtl,true,mtl,model,CE_CA_D2_1441_model,ce_ca_d2_1441_model,CE_CA_D2_1441,,,
CE_CA_D2_1441_model.obj,true,obj,model,CE_CA_D2_1441_model,ce_ca_d2_1441_model,CE_CA_D2_1441,,,
CE_CA_D2_1441_model.stl,true,stl,model,CE_CA_D2_1441_model,ce_ca_d2_1441_model,CE_CA_D2_1441,,,
CE_CA_D2_1441_model.x3d,true,x3d,model,CE_CA_D2_1441_model,ce_ca_d2_1441_model,CE_CA_D2_1441,,,
CE_CA_D2_1442_model.jpg,true,jpg,image/jpeg,CE_CA_D2_1442_model,ce_ca_d2_1442_model,CE_CA_D2_1442,,,
CE_CA_D2_1442_model.mtl,true,mtl,model,CE_CA_D2_1442_model,ce_ca_d2_1442_model,CE_CA_D2_1442,,,
CE_CA_D2_1442_model.obj,true,obj,model,CE_CA_D2_1442_model,ce_ca_d2_1442_model,CE_CA_D2_1442,,,
CE_CA_D2_1442_model.stl,true,stl,model,CE_CA_D2_1442_model,ce_ca_d2_1442_model,CE_CA_D2_1442,,,
CE_CA_D2_1442_model.x3d,true,x3d,model,CE_CA_D2_1442_model,ce_ca_d2_1442_model,CE_CA_D2_1442,,,
CE_CA_D2_1443_model.jpg,true,jpg,image/jpeg,CE_CA_D2_1443_model,ce_ca_d2_1443_model,CE_CA_D2_1443,,,
CE_CA_D2_1443_model.mtl,true,mtl,model,CE_CA_D2_1443_model,ce_ca_d2_1443_model,CE_CA_D2_1443,,,
CE_CA_D2_1443_model.obj,true,obj,model,CE_CA_D2_1443_model,ce_ca_d2_1443_model,CE_CA_D2_1443,,,
CE_CA_D2_1443_model.stl,true,stl,model,CE_CA_D2_1443_model,ce_ca_d2_1443_model,CE_CA_D2_1443,,,
CE_CA_D2_1443_model.x3d,true,x3d,model,CE_CA_D2_1443_model,ce_ca_d2_1443_model,CE_CA_D2_1443,,,
CE_CA_D2_1444_model.jpg,true,jpg,image/jpeg,CE_CA_D2_1444_model,ce_ca_d2_1444_model,CE_CA_D2_1444,,,
CE_CA_D2_1444_model.mtl,true,mtl,model,CE_CA_D2_1444_model,ce_ca_d2_1444_model,CE_CA_D2_1444,,,
CE_CA_D2_1444_model.obj,true,obj,model,CE_CA_D2_1444_model,ce_ca_d2_1444_model,CE_CA_D2_1444,,,
CE_CA_D2_1444_model.stl,true,stl,model,CE_CA_D2_1444_model,ce_ca_d2_1444_model,CE_CA_D2_1444,,,
CE_CA_D2_1444_model.x3d,true,x3d,model,CE_CA_D2_1444_model,ce_ca_d2_1444_model,CE_CA_D2_1444,,,
CE_CA_D2_1445_model.jpg,true,jpg,image/jpeg,CE_CA_D2_1445_model,ce_ca_d2_1445_model,CE_CA_D2_1445,,,
CE_CA_D2_1445_model.mtl,true,mtl,model,CE_CA_D2_1445_model,ce_ca_d2_1445_model,CE_CA_D2_1445,,,
CE_CA_D2_1445_model.obj,true,obj,model,CE_CA_D2_1445_model,ce_ca_d2_1445_model,CE_CA_D2_1445,,,
CE_CA_D2_1445_model.stl,true,stl,model,CE_CA_D2_1445_model,ce_ca_d2_1445_model,CE_CA_D2_1445,,,
CE_CA_D2_1445_model.x3d,true,x3d,model,CE_CA_D2_1445_model,ce_ca_d2_1445_model,CE_CA_D2_1445,,,
CE_CA_D2_1446_model.jpg,true,jpg,image/jpeg,CE_CA_D2_1446_model,ce_ca_d2_1446_model,CE_CA_D2_1446,,,
CE_CA_D2_1446_model.mtl,true,mtl,model,CE_CA_D2_1446_model,ce_ca_d2_1446_model,CE_CA_D2_1446,,,
CE_CA_D2_1446_model.obj,true,obj,model,CE_CA_D2_1446_model,ce_ca_d2_1446_model,CE_CA_D2_1446,,,
CE_CA_D2_1446_model.stl,true,stl,model,CE_CA_D2_1446_model,ce_ca_d2_1446_model,CE_CA_D2_1446,,,
CE_CA_D2_1446_model.x3d,true,x3d,model,CE_CA_D2_1446_model,ce_ca_d2_1446_model,CE_CA_D2_1446,,,
CE_CA_D2_1447_model.jpg,true,jpg,image/jpeg,CE_CA_D2_1447_model,ce_ca_d2_1447_model,CE_CA_D2_1447,,,
CE_CA_D2_1447_model.mtl,true,mtl,model,CE_CA_D2_1447_model,ce_ca_d2_1447_model,CE_CA_D2_1447,,,
CE_CA_D2_1447_model.obj,true,obj,model,CE_CA_D2_1447_model,ce_ca_d2_1447_model,CE_CA_D2_1447,,,
CE_CA_D2_1447_model.stl,true,stl,model,CE_CA_D2_1447_model,ce_ca_d2_1447_model,CE_CA_D2_1447,,,
CE_CA_D2_1447_model.x3d,true,x3d,model,CE_CA_D2_1447_model,ce_ca_d2_1447_model,CE_CA_D2_1447,,,
