objectid,parentid,title,creator,date,date_archival,date_is_approximate,description,subject,recipient,associated_names,location,latitude,longitude,location_2,latitude_2,longitude_2,identifier,doc_length,source,language,rights,rightsstatement,student_initials,publish,original_format,type,format,object_comments,group,display_template,filename,object_location,image_small,image_thumb,extension,box_num,folder_num,id_num
ce_b77_f4-item14-001,,A pendant depicting an optical illusion [04],,,,,A printed picture of a pendant depicting an optical illusion; the image can look like the face of a Mayan indigenous man or a pair of naked women.,Maya (culture or style),,,,,,,,,CE_B77_F4-Item14-001,N/A,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,sj,,photo,Image;StillImage,image/jpeg,,archives,image,CE_B77_F4-Item14-001.jpg,https://objects.lib.uidaho.edu/crabtree/CE_B77_F4-Item14-001.jpg,https://objects.lib.uidaho.edu/crabtree/small/ce_b77_f4-item14-001_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b77_f4-item14-001_th.jpg,jpg,B77,F4,F4-Item14-001
ce_b77_f4-item14-002,,The back of a printed picture,,,,,"The back of a printed picture labelled ""862"".",Maya (culture or style),,,,,,,,,CE_B77_F4-Item14-002,N/A,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,sj,,photo,Image;StillImage,image/jpeg,,archives,image,CE_B77_F4-Item14-002.jpg,https://objects.lib.uidaho.edu/crabtree/CE_B77_F4-Item14-002.jpg,https://objects.lib.uidaho.edu/crabtree/small/ce_b77_f4-item14-002_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b77_f4-item14-002_th.jpg,jpg,B77,F4,F4-Item14-002
ce_b77_f4-item12-001,,A pendant depicting an optical illusion [02],,,,,A printed picture of a pendant depicting an optical illusion; the image can look like the face of a Mayan indigenous man or a pair of naked women.,Maya (culture or style),,,,,,,,,CE_B77_F4-Item12-001,N/A,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,sj,,photo,Image;StillImage,image/jpeg,,archives,image,CE_B77_F4-Item12-001.jpg,https://objects.lib.uidaho.edu/crabtree/CE_B77_F4-Item12-001.jpg,https://objects.lib.uidaho.edu/crabtree/small/ce_b77_f4-item12-001_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b77_f4-item12-001_th.jpg,jpg,B77,F4,F4-Item12-001
ce_b77_f4-item12-002,,The back of a printed picture,,,,,"The back of a printed picture labelled ""105?"".",Maya (culture or style),,,,,,,,,CE_B77_F4-Item12-002,N/A,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,sj,,photo,Image;StillImage,image/jpeg,,archives,image,CE_B77_F4-Item12-002.jpg,https://objects.lib.uidaho.edu/crabtree/CE_B77_F4-Item12-002.jpg,https://objects.lib.uidaho.edu/crabtree/small/ce_b77_f4-item12-002_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b77_f4-item12-002_th.jpg,jpg,B77,F4,F4-Item12-002
ce_b77_f4-item13-001,,A pendant depicting an optical illusion [03],,,,,A printed picture of a pendant depicting an optical illusion; the image can look like the face of a Mayan indigenous man or a pair of naked women.,Maya (culture or style),,,,,,,,,CE_B77_F4-Item13-001,N/A,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,sj,,photo,Image;StillImage,image/jpeg,,archives,image,CE_B77_F4-Item13-001.jpg,https://objects.lib.uidaho.edu/crabtree/CE_B77_F4-Item13-001.jpg,https://objects.lib.uidaho.edu/crabtree/small/ce_b77_f4-item13-001_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b77_f4-item13-001_th.jpg,jpg,B77,F4,F4-Item13-001
ce_b77_f4-item13-002,,The back of a printed picture,,,,,"The back of a printed picture labelled ""888"".",Maya (culture or style),,,,,,,,,CE_B77_F4-Item13-002,N/A,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,sj,,photo,Image;StillImage,image/jpeg,,archives,image,CE_B77_F4-Item13-002.jpg,https://objects.lib.uidaho.edu/crabtree/CE_B77_F4-Item13-002.jpg,https://objects.lib.uidaho.edu/crabtree/small/ce_b77_f4-item13-002_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b77_f4-item13-002_th.jpg,jpg,B77,F4,F4-Item13-002
ce_b77_f4-item11-001,,A pendant depicting an optical illusion [01],,,,,A printed picture of a pendant depicting an optical illusion; the image can look like the face of a Mayan indigenous man or a pair of naked women.,Maya (culture or style),,,,,,,,,CE_B77_F4-Item11-001,N/A,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,sj,,photo,Image;StillImage,image/jpeg,,archives,image,CE_B77_F4-Item11-001.jpg,https://objects.lib.uidaho.edu/crabtree/CE_B77_F4-Item11-001.jpg,https://objects.lib.uidaho.edu/crabtree/small/ce_b77_f4-item11-001_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b77_f4-item11-001_th.jpg,jpg,B77,F4,F4-Item11-001
ce_b77_f4-item11-002,,The back of a printed picture,,,,,"The back of a printed picture labelled ""105?"".",Maya (culture or style),,,,,,,,,CE_B77_F4-Item11-002,N/A,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,sj,,photo,Image;StillImage,image/jpeg,,archives,image,CE_B77_F4-Item11-002.jpg,https://objects.lib.uidaho.edu/crabtree/CE_B77_F4-Item11-002.jpg,https://objects.lib.uidaho.edu/crabtree/small/ce_b77_f4-item11-002_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b77_f4-item11-002_th.jpg,jpg,B77,F4,F4-Item11-002
ce_b82_f2-item1-007,,Art piece with nudity,,,N/A,,A black and white negative that displays a blurry image of a circular piece of art that has two woman figures drawn on.,nudes (representations),,,,,,,,,CE_B82_F2-Item1-007,N/A,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",eng,In Copyright,http://rightsstatements.org/vocab/InC-EDU/1.0/,CD,,negative,Image;StillImage,image/jpeg,,archives,image,CE_B82_F2-Item1-007.jpg,https://objects.lib.uidaho.edu/crabtree/CE_B82_F2-Item1-007.jpg,https://objects.lib.uidaho.edu/crabtree/small/ce_b82_f2-item1-007_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_b82_f2-item1-007_th.jpg,jpg,B82,F2,F2-Item1-007
