objectid,parentid,title,creator,date,date_archival,date_is_approximate,description,subject,recipient,associated_names,location,latitude,longitude,location_2,latitude_2,longitude_2,identifier,doc_length,source,language,rights,rightsstatement,student_initials,publish,original_format,type,format,object_comments,group,cabinet,drawer,box,bag,type_point,material,material_source,length_mm,width_mm,thickness_mm,weight,count,GGOI,filename,display_template,object_location,image_thumb,image_small
ce_ca_d3_9154-a,,Ce.9154,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9154-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,ignimbrite,N/A,25.68,28.9,5.72,4.5,1,,CE_CA_D3_9154-a.jpg,artifact_image,,,
ce_ca_d3_9154-b,ce_ca_d3_9154-a,Ce.9154,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9154-b,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,ignimbrite,N/A,25.68,28.9,5.72,4.5,1,,CE_CA_D3_9154-b.jpg,artifact_image,,,
ce_ca_d3_9157-a,,Ce.9157,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9157-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,claystone,N/A,39.56,33.26,7.06,7.6,1,,CE_CA_D3_9157-a.jpg,artifact_image,,,
ce_ca_d3_9157-b,ce_ca_d3_9157-a,Ce.9157,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9157-b,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,claystone,N/A,39.56,33.26,7.06,7.6,1,,CE_CA_D3_9157-b.jpg,artifact_image,,,
ce_ca_d3_9168-a,,Ce.9168,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9168-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,quartzite,N/A,39.56,33.26,7.06,7.6,1,,CE_CA_D3_9168-a.jpg,artifact_image,,,
ce_ca_d3_9168-b,ce_ca_d3_9168-a,Ce.9168,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9168-b,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,quartzite,N/A,39.56,33.26,7.06,7.6,1,,CE_CA_D3_9168-b.jpg,artifact_image,,,
ce_ca_d3_9169-a,,Ce.9169,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9169-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,biface,cryptocrystalline silicate,N/A,23.08,41.96,8.73,12.4,1,,CE_CA_D3_9169-a.jpg,artifact_image,,,
ce_ca_d3_9169-b,ce_ca_d3_9169-a,Ce.9169,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9169-b,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,biface,cryptocrystalline silicate,N/A,23.08,41.96,8.73,12.4,1,,CE_CA_D3_9169-b.jpg,artifact_image,,,
ce_ca_d3_9173-a,,Ce.9173,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9173-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,biface,obsidian,N/A,32.14,40.12,8.251,10.4,1,,CE_CA_D3_9173-a.jpg,artifact_image,,,
ce_ca_d3_9173-b,ce_ca_d3_9173-a,Ce.9173,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9173-b,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,biface,obsidian,N/A,32.14,40.12,8.251,10.4,1,,CE_CA_D3_9173-b.jpg,artifact_image,,,
ce_ca_d3_9182-a,,Ce.9182,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9182-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,biface,ignimbrite,N/A,33.77,32.22,7.11,9.2,1,,CE_CA_D3_9182-a.jpg,artifact_image,,,
ce_ca_d3_9182-b,ce_ca_d3_9182-a,Ce.9182,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9182-b,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,biface,ignimbrite,N/A,33.77,32.22,7.11,9.2,1,,CE_CA_D3_9182-b.jpg,artifact_image,,,
ce_ca_d3_9187-a,,Ce.9187,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9187-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,obsidian,N/A,35.57,23.94,3.93,2.8,1,,CE_CA_D3_9187-a.jpg,artifact_image,,,
ce_ca_d3_9187-b,ce_ca_d3_9187-a,Ce.9187,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9187-b,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,obsidian,N/A,35.57,23.94,3.93,2.8,1,,CE_CA_D3_9187-b.jpg,artifact_image,,,
ce_ca_d3_9260-a,,Ce.9260,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9260-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,ignimbrite,N/A,40.49,17.42,7.66,4.2,1,,CE_CA_D3_9260-a.jpg,artifact_image,,,
ce_ca_d3_9260-b,ce_ca_d3_9260-a,Ce.9260,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9260-b,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,ignimbrite,N/A,40.49,17.42,7.66,4.2,1,,CE_CA_D3_9260-b.jpg,artifact_image,,,
