title,author,description,link
Donald E. Crabtree (1912-1980),Julia Anderson,"A comprehensive biography courtesy of Crabtree's niece, Julia Anderson.",/crabtree_anderson.html
Donald E. Crabtree's Legacy and Impact,Julia Anderson,"An overview of Crabtree's legacy in archeology and beyond, courtesy of his niece, Julia Anderson."
The Donald Crabtree Collection and the University of Idaho,Tim Mace,"An article exploring how the Crabtree Collection came to be and the legacy it provides students and research at University of Idaho.",/crabtree_mace.html
Reflections in Stone Tools: A Life Story of Don E. Crabtree,Yummi Danner,"A masters thesis that contains useful biographic information.",https://verso.uidaho.edu/esploro/outputs/996636642301851
Bowers Laboratory Crabtree Biography,,"An older biography originally published on the Alfred W. Bowers Laboratory of Anthropology website.",/crabtree_bowerslab.html
